 time            v(g_pulse)      v(n1)          
 2.61479496e-10  1.20000000e+00  1.00507311e+00 
 2.61971431e-10  1.20000000e+00  1.00545557e+00 
 2.62487894e-10  1.20000000e+00  1.00583046e+00 
 2.63002718e-10  1.20000000e+00  1.00617763e+00 
 2.63539477e-10  1.20000000e+00  1.00651231e+00 
 2.64075002e-10  1.20000000e+00  1.00681947e+00 
 2.64622425e-10  1.20000000e+00  1.00710686e+00 
 2.65159150e-10  1.20000000e+00  1.00736330e+00 
 2.65690927e-10  1.20000000e+00  1.00759305e+00 
 2.66200238e-10  1.20000000e+00  1.00779038e+00 
 2.66692814e-10  1.20000000e+00  1.00795967e+00 
 2.67160036e-10  1.20000000e+00  1.00809997e+00 
 2.67609745e-10  1.20000000e+00  1.00821554e+00 
 2.68039617e-10  1.20000000e+00  1.00830733e+00 
 2.68458106e-10  1.20000000e+00  1.00837847e+00 
 2.68866065e-10  1.20000000e+00  1.00843015e+00 
 2.69271679e-10  1.20000000e+00  1.00846423e+00 
 2.69633997e-10  1.20000000e+00  1.00848039e+00 
 2.69979626e-10  1.20000000e+00  1.00848365e+00 
 2.70345929e-10  1.20000000e+00  1.00847461e+00 
 2.70697782e-10  1.20000000e+00  1.00845425e+00 
 2.71080308e-10  1.20000000e+00  1.00841936e+00 
 2.71501977e-10  1.20000000e+00  1.00836570e+00 
 2.71913847e-10  1.20000000e+00  1.00829814e+00 
 2.72321340e-10  1.20000000e+00  1.00821734e+00 
 2.72738787e-10  1.20000000e+00  1.00812183e+00 
 2.73179397e-10  1.20000000e+00  1.00800982e+00 
 2.73647574e-10  1.20000000e+00  1.00788226e+00 
 2.74140949e-10  1.20000000e+00  1.00774352e+00 
 2.74637288e-10  1.20000000e+00  1.00760515e+00 
 2.75151911e-10  1.20000000e+00  1.00746906e+00 
 2.75674078e-10  1.20000000e+00  1.00734468e+00 
 2.76161414e-10  1.20000000e+00  1.00724609e+00 
 2.76644411e-10  1.20000000e+00  1.00716954e+00 
 2.77106475e-10  1.20000000e+00  1.00711963e+00 
 2.77570406e-10  1.20000000e+00  1.00709569e+00 
 2.78021906e-10  1.20000000e+00  1.00710026e+00 
 2.78477470e-10  1.20000000e+00  1.00713509e+00 
 2.78925955e-10  1.20000000e+00  1.00720098e+00 
 2.79380192e-10  1.20000000e+00  1.00730130e+00 
