 frequency       frequency       onoise_spectrum inoise_spectrum
 7.58577575e+03  7.58577575e+03  6.21313336e-09  2.57770663e-07 
 7.94328235e+03  7.94328235e+03  6.07729804e-09  2.52135123e-07 
 8.31763771e+03  8.31763771e+03  5.94467960e-09  2.46633046e-07 
 8.70963590e+03  8.70963590e+03  5.81520736e-09  2.41261497e-07 
 9.12010839e+03  9.12010839e+03  5.68881227e-09  2.36017614e-07 
 9.54992586e+03  9.54992586e+03  5.56542689e-09  2.30898598e-07 
 1.00000000e+04  1.00000000e+04  5.44498537e-09  2.25901716e-07 
 1.04712855e+04  1.04712855e+04  5.32742336e-09  2.21024300e-07 
 1.09647820e+04  1.09647820e+04  5.21267802e-09  2.16263742e-07 
 1.14815362e+04  1.14815362e+04  5.10068798e-09  2.11617496e-07 
 1.20226443e+04  1.20226443e+04  4.99139328e-09  2.07083074e-07 
 1.25892541e+04  1.25892541e+04  4.88473537e-09  2.02658047e-07 
 1.31825674e+04  1.31825674e+04  4.78065704e-09  1.98340042e-07 
 1.38038426e+04  1.38038426e+04  4.67910240e-09  1.94126741e-07 
 1.44543977e+04  1.44543977e+04  4.58001689e-09  1.90015878e-07 
 1.51356125e+04  1.51356125e+04  4.48334719e-09  1.86005242e-07 
 1.58489319e+04  1.58489319e+04  4.38904120e-09  1.82092673e-07 
 1.65958691e+04  1.65958691e+04  4.29704804e-09  1.78276058e-07 
 1.73780083e+04  1.73780083e+04  4.20731799e-09  1.74553335e-07 
 1.81970086e+04  1.81970086e+04  4.11980249e-09  1.70922489e-07 
 1.90546072e+04  1.90546072e+04  4.03445408e-09  1.67381552e-07 
 1.99526231e+04  1.99526231e+04  3.95122638e-09  1.63928598e-07 
 2.08929613e+04  2.08929613e+04  3.87007407e-09  1.60561749e-07 
 2.18776162e+04  2.18776162e+04  3.79095288e-09  1.57279167e-07 
 2.29086765e+04  2.29086765e+04  3.71381951e-09  1.54079055e-07 
 2.39883292e+04  2.39883292e+04  3.63863166e-09  1.50959659e-07 
 2.51188643e+04  2.51188643e+04  3.56534796e-09  1.47919263e-07 
 2.63026799e+04  2.63026799e+04  3.49392799e-09  1.44956189e-07 
 2.75422870e+04  2.75422870e+04  3.42433221e-09  1.42068797e-07 
 2.88403150e+04  2.88403150e+04  3.35652194e-09  1.39255483e-07 
 3.01995172e+04  3.01995172e+04  3.29045939e-09  1.36514678e-07 
 3.16227766e+04  3.16227766e+04  3.22610755e-09  1.33844847e-07 
 3.31131121e+04  3.31131121e+04  3.16343023e-09  1.31244488e-07 
 3.46736850e+04  3.46736850e+04  3.10239203e-09  1.28712133e-07 
 3.63078055e+04  3.63078055e+04  3.04295827e-09  1.26246344e-07 
 3.80189396e+04  3.80189396e+04  2.98509503e-09  1.23845712e-07 
 3.98107171e+04  3.98107171e+04  2.92876909e-09  1.21508860e-07 
 4.16869383e+04  4.16869383e+04  2.87394790e-09  1.19234437e-07 
 4.36515832e+04  4.36515832e+04  2.82059960e-09  1.17021121e-07 
 4.57088190e+04  4.57088190e+04  2.76869295e-09  1.14867616e-07 
 4.78630092e+04  4.78630092e+04  2.71819735e-09  1.12772653e-07 
 5.01187234e+04  5.01187234e+04  2.66908279e-09  1.10734987e-07 
 5.24807460e+04  5.24807460e+04  2.62131984e-09  1.08753396e-07 
 5.49540874e+04  5.49540874e+04  2.57487965e-09  1.06826684e-07 
 5.75439937e+04  5.75439937e+04  2.52973389e-09  1.04953675e-07 
 6.02559586e+04  6.02559586e+04  2.48585477e-09  1.03133217e-07 
 6.30957344e+04  6.30957344e+04  2.44321500e-09  1.01364177e-07 
 6.60693448e+04  6.60693448e+04  2.40178778e-09  9.96454433e-08 
 6.91830971e+04  6.91830971e+04  2.36154678e-09  9.79759236e-08 
 7.24435960e+04  7.24435960e+04  2.32246613e-09  9.63545446e-08 
 7.58577575e+04  7.58577575e+04  2.28452041e-09  9.47802511e-08 
 7.94328235e+04  7.94328235e+04  2.24768459e-09  9.32520057e-08 
 8.31763771e+04  8.31763771e+04  2.21193409e-09  9.17687879e-08 
 8.70963590e+04  8.70963590e+04  2.17724471e-09  9.03295938e-08 
 9.12010839e+04  9.12010839e+04  2.14359263e-09  8.89334353e-08 
 9.54992586e+04  9.54992586e+04  2.11095441e-09  8.75793398e-08 
 1.00000000e+05  1.00000000e+05  2.07930696e-09  8.62663495e-08 
 1.04712855e+05  1.04712855e+05  2.04862755e-09  8.49935211e-08 
 1.09647820e+05  1.09647820e+05  2.01889378e-09  8.37599255e-08 
 1.14815362e+05  1.14815362e+05  1.99008358e-09  8.25646472e-08 
 1.20226443e+05  1.20226443e+05  1.96217521e-09  8.14067840e-08 
 1.25892541e+05  1.25892541e+05  1.93514724e-09  8.02854466e-08 
 1.31825674e+05  1.31825674e+05  1.90897853e-09  7.91997585e-08 
 1.38038426e+05  1.38038426e+05  1.88364827e-09  7.81488558e-08 
 1.44543977e+05  1.44543977e+05  1.85913591e-09  7.71318864e-08 
 1.51356125e+05  1.51356125e+05  1.83542123e-09  7.61480107e-08 
 1.58489319e+05  1.58489319e+05  1.81248424e-09  7.51964005e-08 
 1.65958691e+05  1.65958691e+05  1.79030530e-09  7.42762397e-08 
 1.73780083e+05  1.73780083e+05  1.76886499e-09  7.33867234e-08 
 1.81970086e+05  1.81970086e+05  1.74814420e-09  7.25270586e-08 
 1.90546072e+05  1.90546072e+05  1.72812408e-09  7.16964635e-08 
 1.99526231e+05  1.99526231e+05  1.70878608e-09  7.08941678e-08 
 2.08929613e+05  2.08929613e+05  1.69011189e-09  7.01194126e-08 
 2.18776162e+05  2.18776162e+05  1.67208350e-09  6.93714503e-08 
 2.29086765e+05  2.29086765e+05  1.65468317e-09  6.86495449e-08 
 2.39883292e+05  2.39883292e+05  1.63789344e-09  6.79529717e-08 
 2.51188643e+05  2.51188643e+05  1.62169710e-09  6.72810176e-08 
 2.63026799e+05  2.63026799e+05  1.60607726e-09  6.66329810e-08 
 2.75422870e+05  2.75422870e+05  1.59101728e-09  6.60081721e-08 
 2.88403150e+05  2.88403150e+05  1.57650082e-09  6.54059128e-08 
 3.01995172e+05  3.01995172e+05  1.56251182e-09  6.48255366e-08 
 3.16227766e+05  3.16227766e+05  1.54903450e-09  6.42663890e-08 
 3.31131121e+05  3.31131121e+05  1.53605337e-09  6.37278278e-08 
 3.46736850e+05  3.46736850e+05  1.52355325e-09  6.32092223e-08 
 3.63078055e+05  3.63078055e+05  1.51151923e-09  6.27099544e-08 
 3.80189396e+05  3.80189396e+05  1.49993670e-09  6.22294181e-08 
 3.98107171e+05  3.98107171e+05  1.48879136e-09  6.17670198e-08 
 4.16869383e+05  4.16869383e+05  1.47806919e-09  6.13221780e-08 
 4.36515832e+05  4.36515832e+05  1.46775648e-09  6.08943239e-08 
 4.57088190e+05  4.57088190e+05  1.45783982e-09  6.04829011e-08 
 4.78630092e+05  4.78630092e+05  1.44830610e-09  6.00873657e-08 
 5.01187234e+05  5.01187234e+05  1.43914251e-09  5.97071864e-08 
 5.24807460e+05  5.24807460e+05  1.43033655e-09  5.93418443e-08 
 5.49540874e+05  5.49540874e+05  1.42187601e-09  5.89908332e-08 
 5.75439937e+05  5.75439937e+05  1.41374900e-09  5.86536592e-08 
 6.02559586e+05  6.02559586e+05  1.40594391e-09  5.83298412e-08 
 6.30957344e+05  6.30957344e+05  1.39844944e-09  5.80189103e-08 
 6.60693448e+05  6.60693448e+05  1.39125459e-09  5.77204100e-08 
 6.91830971e+05  6.91830971e+05  1.38434865e-09  5.74338962e-08 
 7.24435960e+05  7.24435960e+05  1.37772122e-09  5.71589370e-08 
 7.58577575e+05  7.58577575e+05  1.37136218e-09  5.68951125e-08 
 7.94328235e+05  7.94328235e+05  1.36526169e-09  5.66420149e-08 
 8.31763771e+05  8.31763771e+05  1.35941021e-09  5.63992483e-08 
 8.70963590e+05  8.70963590e+05  1.35379848e-09  5.61664285e-08 
 9.12010839e+05  9.12010839e+05  1.34841752e-09  5.59431827e-08 
 9.54992586e+05  9.54992586e+05  1.34325862e-09  5.57291498e-08 
 1.00000000e+06  1.00000000e+06  1.33831335e-09  5.55239798e-08 
