 time            v(in)           v(out)         
 2.45281799e-09  6.33815826e-01  1.19984355e+00 
 2.45284348e-09  6.34121791e-01  1.19973724e+00 
 2.45289448e-09  6.34733721e-01  1.19952374e+00 
 2.45299647e-09  6.35957582e-01  1.19909325e+00 
 2.45320044e-09  6.38405304e-01  1.19821838e+00 
 2.45360840e-09  6.43300747e-01  1.19641364e+00 
 2.45409836e-09  6.49180367e-01  1.19414927e+00 
 2.45472319e-09  6.56678255e-01  1.19110684e+00 
 2.45533838e-09  6.64060542e-01  1.18793735e+00 
 2.45592733e-09  6.71127981e-01  1.18473495e+00 
 2.45648886e-09  6.77866318e-01  1.18152124e+00 
 2.45702407e-09  6.84288785e-01  1.17830475e+00 
 2.45753942e-09  6.90473068e-01  1.17505827e+00 
 2.45804184e-09  6.96502052e-01  1.17174454e+00 
 2.45854046e-09  7.02485467e-01  1.16830286e+00 
 2.45904724e-09  7.08566932e-01  1.16464072e+00 
 2.45956313e-09  7.14757554e-01  1.16073527e+00 
 2.46009768e-09  7.21172191e-01  1.15649233e+00 
 2.46067383e-09  7.28085950e-01  1.15168910e+00 
 2.46132961e-09  7.35955347e-01  1.14592559e+00 
 2.46185564e-09  7.42267625e-01  1.14107290e+00 
 2.46234665e-09  7.48159807e-01  1.13635793e+00 
 2.46287303e-09  7.54476330e-01  1.13110360e+00 
 2.46337035e-09  7.60444235e-01  1.12594920e+00 
 2.46389849e-09  7.66781910e-01  1.12027305e+00 
 2.46444051e-09  7.73286080e-01  1.11423031e+00 
 2.46502261e-09  7.80271323e-01  1.10749418e+00 
 2.46564231e-09  7.87707747e-01  1.10004118e+00 
 2.46631459e-09  7.95775074e-01  1.09162603e+00 
 2.46704414e-09  8.04529676e-01  1.08210479e+00 
 2.46784076e-09  8.14089065e-01  1.07124545e+00 
 2.46856970e-09  8.22836401e-01  1.06088574e+00 
 2.46931900e-09  8.31828032e-01  1.04981625e+00 
 2.47001281e-09  8.40153771e-01  1.03918732e+00 
 2.47070956e-09  8.48514754e-01  1.02814824e+00 
 2.47138522e-09  8.56622656e-01  1.01709611e+00 
 2.47214701e-09  8.65764176e-01  1.00422907e+00 
 2.47291786e-09  8.75014266e-01  9.90776485e-01 
 2.47364879e-09  8.83785470e-01  9.77623994e-01 
 2.47431641e-09  8.91796966e-01  9.65278446e-01 
 2.47498179e-09  8.99781428e-01  9.52663364e-01 
 2.47564574e-09  9.07748868e-01  9.39769287e-01 
 2.47633857e-09  9.16062849e-01  9.25992234e-01 
 2.47705687e-09  9.24682477e-01  9.11364694e-01 
 2.47782420e-09  9.33890383e-01  8.95355387e-01 
 2.47864611e-09  9.43753331e-01  8.77771406e-01 
 2.47955219e-09  9.54626317e-01  8.57868846e-01 
 2.48056803e-09  9.66816360e-01  8.34916464e-01 
 2.48175331e-09  9.81039706e-01  8.07294327e-01 
 2.48287445e-09  9.94493432e-01  7.80349118e-01 
 2.48402280e-09  1.00827354e+00  7.51948740e-01 
 2.48511583e-09  1.02138995e+00  7.24187648e-01 
 2.48622013e-09  1.03464162e+00  6.95448721e-01 
 2.48728885e-09  1.04746614e+00  6.67007309e-01 
 2.48835487e-09  1.06025846e+00  6.38060141e-01 
