 frequency       frequency       onoise_spectrum inoise_spectrum
 5.75439937e+05  5.75439937e+05  1.63032942e-09  1.16296445e-08 
 6.02559586e+05  6.02559586e+05  1.62977332e-09  1.16256776e-08 
 6.30957344e+05  6.30957344e+05  1.62924206e-09  1.16218880e-08 
 6.60693448e+05  6.60693448e+05  1.62873455e-09  1.16182678e-08 
 6.91830971e+05  6.91830971e+05  1.62824974e-09  1.16148095e-08 
 7.24435960e+05  7.24435960e+05  1.62778661e-09  1.16115058e-08 
 7.58577575e+05  7.58577575e+05  1.62734420e-09  1.16083500e-08 
 7.94328235e+05  7.94328235e+05  1.62692159e-09  1.16053354e-08 
 8.31763771e+05  8.31763771e+05  1.62651790e-09  1.16024557e-08 
 8.70963590e+05  8.70963590e+05  1.62613229e-09  1.15997050e-08 
 9.12010839e+05  9.12010839e+05  1.62576394e-09  1.15970775e-08 
 9.54992586e+05  9.54992586e+05  1.62541210e-09  1.15945676e-08 
 1.00000000e+06  1.00000000e+06  1.62507602e-09  1.15921703e-08 
